ITC,TATACOMM,TATAGLOBAL,TATAMTRDVR,TATACOFFEE,TATAMOTORS
324.75,405.55,124.25,253.35,93.8,329.55
324.25,380.4,121.75,243,93.25,320.3
321.95,367.8,121.6,242.95,91.85,325.5
321.8,377.3,122.5,248.75,93,337.1
323.95,383.15,123.9,241.15,92.9,323.5
315.25,382.05,120.75,230.6,91.7,310.65
312.4,371.9,118.35,223.95,87.7,291.55
309,360.2,105.25,214.8,84.9,276.35
298.55,358.05,104.3,226.15,85.75,298.35
300.1,360.95,106,237.85,87.5,317.25
303.7,352.75,102.65,229.25,85.25,301.15
295.5,348.8,104,239.15,83.55,310.15
299.85,341.5,104.55,239.2,83.6,314
305.45,345.25,107.3,244.75,87.55,318.2
304.55,349.95,109.1,242.1,87,318.85
299.85,345.6,106.65,246.75,85.75,318.55
